id,code,name,current_department_id,current_sub_treasury_id,review_status,target_department_id,target_sub_treasury_id,notes
112,00002,"Family Maintenance   Family Court",,,review,,,"Non-standard code; verify against official records."
113,00004,"Contribution Development Concession",,,review,,,"Non-standard code; verify against official records."
114,00006,"Post Office Accounts",,,review,,,"Non-standard code; verify against official records."
115,00008,"Civil Actions & Land Titles   Registry",,,review,,,"Non-standard code; verify against official records."
116,00010,"Liquor licensing fees etc",,,review,,,"Non-standard code; verify against official records."
43,12017,"General Registry",,,keep,,,""
97,12031,"Supreme Court",,,keep,,,""
60,12041,"Magistrate Court Belize City",,,keep,,,""
63,12052,"Magistrate Court Corozal",,,keep,,,""
66,12063,"Magistrate Court Orange Walk",,,keep,,,""
61,12078,"Magistrate Court Belmopan",,,keep,,,""
68,12084,"Magistrate Court San Ignacio",,,keep,,,""
62,12085,"Magistrate Court Benque Viejo Del Carmen",,,keep,,,""
64,12095,"Magistrate Court Dangriga",,,keep,,,""
67,12106,"Magistrate Court Punta Gorda",,,keep,,,""
69,12111,"Magistrate Court San Pedro",,,keep,,,""
65,12125,"Magistrate Court Indepedence",,,keep,,,""
3,12128,"Belize Intellectual Property Office (BELIPO)",,,keep,,,""
117,132323,"Test Center",,,drop,,,"Local test row."
37,14118,"Election & Boundaries - Head Office (Belmopan)",,,keep,,,""
75,17028,"National Emergency Management Office",,,keep,,,""
72,18017,"Ministry of Finance - General Administration",,,keep,,,""
95,18038,"Supervisor of Insurance",,,keep,,,""
73,18058,"Ministry of Finance - Public Debt Services Management",,,keep,,,""
15,18068,"Central Information Technology Office",,,keep,,,""
103,18071,"Treasury Department (Head Office)",,,keep,,,""
18,18211,"Customs & Excise Belize City",,,keep,,,""
23,18212,"Customs & Excise Philip Goldson International Airport",,,keep,,,""
25,18221,"Customs & Excise San Pedro",,,keep,,,""
21,18232,"Customs & Excise Corozal",,,keep,,,""
20,18243,"Customs & Excise Big Creek",,,keep,,,""
24,18256,"Customs & Excise Punta Gorda",,,keep,,,""
19,18264,"Customs & Excise Benque Viejo",,,keep,,,""
22,18453,"Customs & Excise Orange Walk",,,keep,,,""
11,18511,"Belize Tax Service -Headquarters",,,keep,,,""
10,18521,"Belize Tax Service - San Pedro",,,keep,,,""
5,18522,"Belize Tax Service - Corozal",,,keep,,,""
7,18523,"Belize Tax Service - Orange Walk",,,keep,,,""
9,18524,"Belize Tax Service - San Ignacio",,,keep,,,""
6,18525,"Belize Tax Service - Dangriga",,,keep,,,""
8,18526,"Belize Tax Service - Punta Gorda",,,keep,,,""
4,18528,"Belize Tax Service - Belmopan",,,keep,,,""
107,19017,"Ministry of Health and Wellness - General Administration",,,keep,,,""
14,19031,"Central Health Region",,,keep,,,""
36,19068,"Drug Inspectorate Unit",,,keep,,,""
92,19074,"San Ignacio Community Hospital",,,keep,,,""
78,19083,"Northern Regional Hospital",,,keep,,,""
17,19092,"Corozal Community Hospital",,,keep,,,""
94,19105,"Southern Regional Hospital",,,keep,,,""
100,19116,"Toledo Community Hospital",,,keep,,,""
16,19131,"Central Medical Laboratory Services",,,keep,,,""
105,19168,"Western Regional Hospital",,,keep,,,""
58,19208,"Licensing and Accreditation Unit",,,keep,,,""
79,19288,"Pharmacy Unit",,,keep,,,""
35,19291,"Dr. Otto Rodriguez Polyclinic",,,keep,,,""
87,19298,"Project Management Unit (PMU)",,,keep,,,""
71,21017,"Ministry of Education, CST - General Administration",,,keep,,,""
70,22017,"Ministry of Agriculture, FS&E - General Administration",,,keep,,,""
40,22131,"Fisheries Department",,,keep,,,""
110,23017,"Ministry of Natural Resources, P&M - General Administration",,,keep,,,""
80,23038,"Physical Planning Section",,,keep,,,""
98,23058,"Surveys and Mapping",,,keep,,,""
41,23178,"Forestry Belmopan",,,keep,,,""
44,23308,"Geology Department",,,keep,,,""
39,23328,"Environmental Compliance Monitoring",,,keep,,,""
93,23348,"Solid Waste Management Authority",,,keep,,,""
74,24017,"Ministry of Foreign Trade - General Administration",,,keep,,,""
55,24028,"Investment Policy and Compliance Unit",,,keep,,,""
2,25021,"Belize Broadcasting Authority",,,keep,,,""
76,25028,"National Institute of Culture and History",,,keep,,,""
27,25051,"Department of Youth Development",,,keep,,,""
12,25061,"Belize Youth Training Institute Western Region",,,keep,,,""
26,26021,"Department of Civil Aviation",,,keep,,,""
99,26088,"Terminal Management Unit",,,keep,,,""
108,27017,"Ministry of Human Development, F&IPA - General Administration",,,keep,,,""
85,27058,"Policy Planning Unit",,,keep,,,""
42,28017,"General Administration (MSDCCDRM)",,,keep,,,""
96,28038,"Supplies Control Unit",,,keep,,,""
13,28048,"Bureau of Standards",,,keep,,,""
109,29017,"Ministry of Infrastructure and Housing - General Administration",,,keep,,,""
89,29043,"Road Maintenance Unit - Orange Walk",,,keep,,,""
88,29051,"Road Maintenance Unit - Belize",,,keep,,,""
101,29188,"Transport Department",,,keep,,,""
102,29198,"Transport Department - Traffic Enforcement Unit",,,keep,,,""
111,29208,"Ministry of Public Utilities, L&E - General Administration",,,keep,,,""
82,30067,"Police Administration - Belmopan",,,keep,,,""
83,30083,"Police Administration - Orange Walk",,,keep,,,""
81,30091,"Police Administration - Belize City",,,keep,,,""
84,30136,"Police Administration - Punta Gorda",,,keep,,,""
49,30258,"Immigration Services - Head Office",,,keep,,,""
46,30261,"Immigration Services - Belize City",,,keep,,,""
51,30271,"Immigration Services - Passport Office",,,keep,,,""
52,30288,"Immigration Services - Refugee Department",,,keep,,,""
48,30402,"Immigration Services - Corozal",,,keep,,,""
50,30413,"Immigration Services - Orange Walk",,,keep,,,""
